time_stamp,location,user name,text,val
2020-04-06 13:27:10,chennai,Ankur Singh,RT : So boxer and fraud checker _bear sharing solapur fire video of Feb 3 to target Modi govt. Link- http…,0
2020-04-06 13:27:10,"Chandigarh, India",Saket Gokhale,RT : Modi doesn’t want to test enough people for Covid-19. That’s because he &amp; his media have spent the last few days tellin…,1
2020-04-06 13:27:10,comfort zone,Shilpa Nair,RT : Kamal Haasan writes a strongly worded letter to PM Modi. Says his biggest fear is that the same mistake of demonetisat…,0
2020-04-06 13:27:09,Coorg,Mr. Harmonium 🔊💯%FB,"RT _a_r_1_2_m: 🙏🙏🙏 Very good move Sir Highly appreciable Hon. P. M. Sri N. D. Modi ji Every Bjp worker, his/her family all Bjp supporte…",1
2020-04-06 13:27:08,New Delhi,OpIndia.com,RT _com: Why don't you stand for Markaz?: Cricketer Zaheer Khan gets attacked by Islamists for lighting a diya for PM Modi's 'light…,0
2020-04-06 13:27:07,,ANI,RT : Our mothers &amp; sisters gave their jewellery during wars in the past. The current situation is in no means less than a war. It is a…,0
2020-04-06 13:27:07,,Amit Malviya,"We were glorified as 5th Largest Economy, we left behind France and many developed countries as projected by Bhakts and Media. I am 100% sure Bhakts should start selling their Mother/sisters jewellery and even Stay in footpath, but won't fail Modi ji appeal.",1
2020-04-06 13:27:06,India,एक हिंदुस्तानी,RT : How's is this news #Liberals Jal bhun ke rakh #Narendra_Modi_ji Follow,1
2020-04-06 13:27:06,"New York, USA",Amit Shah,"RT : I also thank the President of India, Vice President &amp; Governors who have decided to contribute voluntary to this noble cause.…",1
2020-04-06 13:27:06,Jalgaon,Vidya,"RT : The health min has been sidelined, with Modi, in his characteristic way by centralising the response. The govt is hidin…",1
2020-04-06 13:27:06,,Press Trust of India,"RT _News: On one hand, you're asking the more privileged to put up spectacle of lights, while on the other, the plight of the poor is i…",1
2020-04-06 13:27:06,Bangalore/Bengaluru,Prof. Steve Hanke,RT _hanke: Really? Anti-#Coronavirus rally’s in #India? I doubt #COVID19 will listen to these demands. #Modi’s rhetoric is peddling m…,0
2020-04-06 13:27:04,"Punjab, India",Narendra Modi,RT : Had a fruitful interaction with the Council of Ministers today on the COVID-19 situation. Ministerial colleagues shared i…,1
2020-04-06 13:27:03,"Pondicherry, India",OpIndia.com,RT _com: Cricketer Mohammad Kaif gets attacked by Islamists for lighting lamp on 5th April in solidarity for fight against coronavi…,0
2020-04-06 13:27:03,"SantirBazar,Tripura,India",Narendra Modi,RT : Had a fruitful interaction with the Council of Ministers today on the COVID-19 situation. Ministerial colleagues shared i…,1
2020-04-06 13:27:02,"Thiruvananthapuram, Keralam",Narendra Modi,RT : Had a fruitful interaction with the Council of Ministers today on the COVID-19 situation. Ministerial colleagues shared i…,1
2020-04-06 13:27:02,Kashmir Delhi,Narendra Modi,"BJP J &amp; K unit writes letter to PM Modi, requesting to restore high speed 4G mobile internet in J &amp; K which is suspended since last 08 months.",0
2020-04-06 13:27:01,"Rome, Lazio",The Mamuns@(The Trustworthy),"RT : Attention Indian PEOPLE. Not if to eat. Dhokebaaz, not well educated criminal Modi. Given to make bullshit! Because majori…",0
2020-04-06 13:27:01,India,OpIndia.com,RT _com: Cricketer Mohammad Kaif gets attacked by Islamists for lighting lamp on 5th April in solidarity for fight against coronavi…,0
2020-04-06 13:27:01,"Pune, India",Shilpa Nair,RT : Kamal Haasan writes a strongly worded letter to PM Modi. Says his biggest fear is that the same mistake of demonetisat…,0
2020-04-06 13:27:01,"Pune, India",Shilpa Nair,RT : Kamal Haasan writes a strongly worded letter to PM Modi. Says his biggest fear is that the same mistake of demonetisat…,0
2020-04-06 13:27:00,"Madhya Pradesh, India",Narendra Modi,RT : Had a fruitful interaction with the Council of Ministers today on the COVID-19 situation. Ministerial colleagues shared i…,1
2020-04-06 13:26:59,"Bhalaswa, New Delhi",Narendra Modi,RT : Had a fruitful interaction with the Council of Ministers today on the COVID-19 situation. Ministerial colleagues shared i…,1
2020-04-06 13:26:59,"Nagaland, India",Lt Cdr Gokul (R),RT : Suspension of MPLAD fund is another blow on Kerala by Modi Govt. All MPs of Kerala were utilising their fund for COVID relie…,1
2020-04-06 13:26:58,"Khansahib, Jammu And Kashmir",100Rabh,Your modi say not in police station and army,1
2020-04-06 13:26:58,"Punjab, Pakistan",Ashok Swain,RT : Modi knows how to quarantine Muslims only! They are not leaving anything to blame Muslims for India's #CoronaVirus crisis! h…,0
2020-04-06 13:26:58,New Delhi,Moushumi Das Gupta,This is the ‘Bhilwara model’ Modi govt is looking to use across India to fight Covid-19 ThePrint's Moushumi Das Gupta _moushumi reports,0
2020-04-06 13:26:58,,JijoyMatts',RT _matt: This is also another way of showing solidarity with PM Modi’s appeal to light diyas for 9 Baje 9 Minute.,1
2020-04-06 13:26:57,,Political Kida,"RT : Maulana after threatening Journalists finally apologises, Perfect opportunity for liberals to show how Minorities are s…",1
2020-04-06 13:26:56,"Guwahati, India",Kamal Haasan,The letter speaks the truth. Thankfully it’s unlike a few who only know how to hurl stones. Some of the things you wrote reflect in this story of mine. Please do read. Thank you Sir. ⁦ ⁩ ⁦ ⁩,1
2020-04-06 13:26:56,"Muzaffarnagar, India",Amit Shah,"RT : I also thank the President of India, Vice President &amp; Governors who have decided to contribute voluntary to this noble cause.…",1
2020-04-06 13:26:55,,OpIndia.com,RT _com: Cricketer Mohammad Kaif gets attacked by Islamists for lighting lamp on 5th April in solidarity for fight against coronavi…,0
2020-04-06 13:26:55,"मुंबई, भारत",Narendra Modi,RT : Had a fruitful interaction with the Council of Ministers today on the COVID-19 situation. Ministerial colleagues shared i…,1
2020-04-06 13:26:54,"india, Manali,Himachal Pradesh",Political Kida,"RT : Maulana after threatening Journalists finally apologises, Perfect opportunity for liberals to show how Minorities are s…",1
2020-04-06 13:26:53,,Dipika Chikhlia,I am proud that I am a citizen of that country whose Prime Minister Shri Narendra Damodar Das Modi ji ..I selute to him and I am with modi ji I can proudly say that I am Modi Bhagat #RSS #pmmodi #JaiHind,1
2020-04-06 13:26:53,,Dhanya Rajendran,RT : 'Don't be a balcony govt for balcony people’: Kamal Haasan writes to PM Modi,1
2020-04-06 13:26:53,,SG,"If kamal did that, he is only going to lose any further favor from modi. Such is this letter. And kamal doesn't seem to care.",0
2020-04-06 13:26:53,,Shash,RT : Mamata is everything what Liberandus try to see in Modi. -She detained Dr. Khan for asking proper PPE suits instead of Ra…,0
2020-04-06 13:26:52,"Rome, Lazio",The Mamuns@(The Trustworthy),"RT : Not if to eat. Dhokebaaz, not well educated criminal Modi. Given to make bullshit.",0
2020-04-06 13:26:50,"Mumbai, India",Narendra Modi,RT : Had a fruitful interaction with the Council of Ministers today on the COVID-19 situation. Ministerial colleagues shared i…,1
2020-04-06 13:26:50,"Pune, India",Political Kida,"RT : Maulana after threatening Journalists finally apologises, Perfect opportunity for liberals to show how Minorities are s…",1
2020-04-06 13:26:49,,Sardar Haroon,RT _sardar_: #StructuralViolenceInIOJK The Indian government tries to manipulate a law that provides guarantees to Kashmiris. It i…,1
2020-04-06 13:26:49,,Arvind Gunasekar,RT : India’s biggest potential is its human potential &amp; we have tided over bigger crises in the past.We will overcome this…,1
2020-04-06 13:26:49,,WaterBluSky,"RT : Just a reminder that while he was downplaying the #Pandemic , Trump took off for two days, flew to India for pep rally with M…",1
2020-04-06 13:26:48,,Savukku_Shankar,RT : chooses to call a spade a spade. Open letter from Kamal Haasan to Prime Minister Narendra Modi - The Hindu htt…,1
2020-04-06 13:26:47,Mumbai / Washington DC,Shilpa Nair,RT : Kamal Haasan writes a strongly worded letter to PM Modi. Says his biggest fear is that the same mistake of demonetisat…,0
2020-04-06 13:26:47,,Ashok Swain,RT : Vulgarism runs from top to bottom in the BJP - A woman BJP leader fired shots in the air during Modi's 9-minute 'Diwali' last…,0
2020-04-06 13:26:46,"Hà Nội, Việt Nam",Ankit Mishra👨‍💻,RT : Modi ji we are ready for some more days if needed. We will fight 💪 Corona 👊 together.,1
2020-04-06 13:26:46,"Ludhiana, India",Narendra Modi,RT : Had a fruitful interaction with the Council of Ministers today on the COVID-19 situation. Ministerial colleagues shared i…,1
2020-04-06 13:26:46,"Chennai, India",Prashant Bhushan,"RT : Read: Fine letter of Kamal Hasan to Modi on the Virus of apathy to the poor unleashed by him. ""I am extremely saddened to se…",0
2020-04-06 13:26:45,,Indradeep Khan,RT : I thought of doing a point by point critique of Arundhoti Roy FT Article However looking at the reasons she gave for In…,1
2020-04-06 13:26:45,India,Narendra Modi,RT : Had a fruitful interaction with the Council of Ministers today on the COVID-19 situation. Ministerial colleagues shared i…,1
2020-04-06 13:26:44,"West Bengal, India",ANI,RT : Our mothers &amp; sisters gave their jewellery during wars in the past. The current situation is in no means less than a war. It is a…,0
2020-04-06 13:26:44,"Mumbai, India",nikhil wagle,RT : 3 points proved once again by Modi’s ‘Corona Diwali’: 1) Modi is the most popular leader in India 2) Opposition parties ar…,1
2020-04-06 13:26:44,,Ashok Swain,RT : Modi knows how to quarantine Muslims only! They are not leaving anything to blame Muslims for India's #CoronaVirus crisis! h…,0
2020-04-06 13:26:44,"Umargam, gujarat",Narendra Modi,RT : Had a fruitful interaction with the Council of Ministers today on the COVID-19 situation. Ministerial colleagues shared i…,1
2020-04-06 13:26:44,,Michael Slackman,RT : Watch this video: Modi Denies India Is Targeting Muslims. We Found a Different Reality.,0
2020-04-06 13:26:44,In Your ❤,Deepika Narayan Bhardwaj,"RT : Those who bring #JasodaBen into conversation to condemn Modi, have NO concern, love, empathy or care for the lady. The…",1
2020-04-06 13:26:44,"Mumbai, Delhi & Patna",Saket Gokhale,RT : Modi doesn’t want to test enough people for Covid-19. That’s because he &amp; his media have spent the last few days tellin…,1
2020-04-06 13:26:43,Earth,Dhanya Rajendran,RT : 'Don't be a balcony govt for balcony people’: Kamal Haasan writes to PM Modi,1
2020-04-06 13:26:43,प्रयागराज,एक हिंदुस्तानी,RT : How's is this news #Liberals Jal bhun ke rakh #Narendra_Modi_ji Follow,1
